date,secteur,region,canal_vente,representant,taille_client,revenu,marge_pct,rabais_pct,nb_reunions,duree_cycle_jours,score_nps,est_renouvellement,mois,trimestre,annee
2023-01-12,Manufacturier,Alberta,Revendeur,REP15,PME,97059.35,53.2,8.9,2,240,1,1,1,1,2023
2023-01-13,Services,Québec,Revendeur,REP06,Grande entreprise,209743.83,16.5,10.0,2,123,4,0,1,1,2023
2023-01-13,Manufacturier,Québec,Direct,REP10,PME,10189.44,38.7,9.4,5,26,8,0,1,1,2023
2023-01-14,Manufacturier,Ontario,Partenaire,REP09,PME,51825.1,38.6,2.9,1,72,7,0,1,1,2023
2023-01-14,Services,Ontario,Partenaire,REP17,PME,25847.6,51.3,18.4,10,231,6,1,1,1,2023
2023-01-14,Manufacturier,Québec,En ligne,REP25,Grande entreprise,238714.33,43.1,11.2,5,14,2,0,1,1,2023
2023-01-14,Services,Ontario,En ligne,REP15,Gouvernement,9196.48,27.9,15.6,6,16,4,0,1,1,2023
2023-01-14,Services,Ontario,En ligne,REP18,Startup,5946.11,28.5,4.3,1,314,3,1,1,1,2023
2023-01-14,Services,Ontario,Direct,REP24,Grande entreprise,95621.73,40.8,3.6,4,275,4,0,1,1,2023
2023-01-15,Services,Québec,Partenaire,REP23,PME,14333.63,51.5,12.9,10,342,1,0,1,1,2023
2023-01-16,Services,Colombie-Britannique,Revendeur,REP25,Startup,20232.77,45.2,0.1,4,192,10,0,1,1,2023
2023-01-16,Services,Ontario,Partenaire,REP21,Grande entreprise,81171.87,38.2,19.1,11,315,10,0,1,1,2023
2023-01-17,Services,Colombie-Britannique,Direct,REP09,Grande entreprise,62686.19,24.0,9.0,2,13,1,1,1,1,2023
2023-01-17,Services,Colombie-Britannique,Partenaire,REP13,PME,11570.27,42.6,6.1,3,253,10,0,1,1,2023
2023-01-17,Services,Maritimes,Direct,REP19,Startup,36824.08,30.1,6.9,7,27,7,1,1,1,2023
2023-01-17,Manufacturier,Québec,En ligne,REP18,Startup,40151.12,46.1,13.0,10,17,10,0,1,1,2023
2023-01-17,Manufacturier,Colombie-Britannique,Direct,REP07,Startup,25931.78,22.5,16.9,6,317,6,1,1,1,2023
2023-01-18,Manufacturier,Québec,Direct,REP01,Grande entreprise,177191.79,47.6,0.5,7,269,9,0,1,1,2023
2023-01-19,Manufacturier,Colombie-Britannique,Partenaire,REP06,Gouvernement,275075.11,31.5,17.6,7,271,2,1,1,1,2023
2023-01-19,Manufacturier,Alberta,En ligne,REP24,PME,7602.08,22.4,8.9,6,57,8,0,1,1,2023
2023-01-20,Manufacturier,Québec,Revendeur,REP18,Grande entreprise,56853.96,18.6,1.0,8,59,6,0,1,1,2023
2023-01-20,Manufacturier,Québec,Revendeur,REP15,Grande entreprise,97982.63,38.6,9.6,4,109,1,0,1,1,2023
2023-01-20,Services,Ontario,Direct,REP07,PME,65532.11,43.0,24.1,5,108,8,0,1,1,2023
2023-01-20,Manufacturier,Québec,Partenaire,REP13,PME,36713.1,33.4,24.2,4,218,2,1,1,1,2023
2023-01-20,Services,Québec,Direct,REP13,PME,13558.07,18.2,23.1,4,41,3,0,1,1,2023
2023-01-20,Manufacturier,Québec,Direct,REP10,PME,25608.67,15.6,9.8,6,188,5,0,1,1,2023
2023-01-20,Services,Québec,Revendeur,REP16,PME,11018.25,22.8,6.2,7,231,3,0,1,1,2023
2023-01-21,Services,Québec,Revendeur,REP05,PME,13643.39,52.6,20.9,3,104,7,0,1,1,2023
2023-01-22,Manufacturier,Colombie-Britannique,Partenaire,REP23,PME,12137.09,35.1,11.8,1,53,2,0,1,1,2023
2023-01-24,Manufacturier,Alberta,En ligne,REP06,Grande entreprise,74076.64,47.7,1.6,9,86,8,0,1,1,2023
2023-01-24,Manufacturier,Québec,Direct,REP07,Startup,122109.67,18.8,23.3,2,104,5,1,1,1,2023
2023-01-24,Services,Ontario,Direct,REP14,Gouvernement,71402.82,36.6,11.6,5,202,7,0,1,1,2023
2023-01-25,Manufacturier,Alberta,Direct,REP09,PME,154444.02,17.5,15.4,7,344,9,0,1,1,2023
2023-01-25,Services,Colombie-Britannique,En ligne,REP20,PME,61347.38,28.8,21.6,1,188,5,0,1,1,2023
2023-01-25,Manufacturier,Québec,Partenaire,REP02,PME,18538.43,33.0,23.2,1,139,2,0,1,1,2023
2023-01-26,Services,Québec,Direct,REP22,PME,7048.52,34.5,22.4,3,259,5,0,1,1,2023
2023-01-26,Manufacturier,Alberta,En ligne,REP18,Startup,71930.91,20.3,3.7,6,108,3,1,1,1,2023
2023-01-26,Manufacturier,Ontario,En ligne,REP20,PME,23341.12,48.2,5.3,3,27,9,1,1,1,2023
2023-01-26,Services,Maritimes,En ligne,REP11,Startup,2695.6,45.5,11.0,3,250,8,1,1,1,2023
2023-01-26,Services,Ontario,Revendeur,REP16,PME,11428.67,25.9,2.9,8,77,2,0,1,1,2023
2023-01-29,Services,Ontario,Partenaire,REP02,Gouvernement,24030.06,39.6,14.2,1,154,8,0,1,1,2023
2023-01-29,Services,Québec,Direct,REP13,PME,17337.91,44.8,14.2,4,122,7,1,1,1,2023
2023-01-29,Services,Colombie-Britannique,Partenaire,REP17,Grande entreprise,350195.4,41.5,22.6,2,113,10,1,1,1,2023
2023-01-29,Services,Québec,Direct,REP02,PME,17450.94,45.9,10.9,2,62,10,1,1,1,2023
2023-01-29,Manufacturier,Québec,Partenaire,REP21,Startup,24847.16,35.9,21.0,6,88,3,0,1,1,2023
2023-01-31,Services,Alberta,Direct,REP14,PME,14432.75,26.2,19.2,4,302,8,0,1,1,2023
2023-01-31,Manufacturier,Alberta,Revendeur,REP02,Grande entreprise,254625.58,23.4,17.0,9,265,4,0,1,1,2023
2023-02-01,Manufacturier,Québec,Revendeur,REP01,PME,48875.16,50.6,15.2,9,93,8,0,2,1,2023
2023-02-01,Services,Québec,Direct,REP01,Startup,10332.16,15.6,23.6,1,210,1,0,2,1,2023
2023-02-02,Manufacturier,Maritimes,En ligne,REP11,Gouvernement,112777.88,34.9,10.8,6,97,8,1,2,1,2023
2023-02-02,Services,Ontario,Direct,REP08,PME,4607.92,53.5,16.3,3,45,4,1,2,1,2023
2023-02-02,Services,Colombie-Britannique,Revendeur,REP24,PME,5506.55,53.0,14.4,11,101,10,0,2,1,2023
2023-02-02,Services,Alberta,Revendeur,REP20,PME,95810.26,37.5,6.7,6,155,6,0,2,1,2023
2023-02-03,Services,Québec,Direct,REP11,Startup,22941.29,27.8,14.6,7,152,6,0,2,1,2023
2023-02-03,Services,Québec,Revendeur,REP13,Gouvernement,22872.41,43.4,7.5,1,188,2,1,2,1,2023
2023-02-03,Manufacturier,Ontario,Partenaire,REP15,Grande entreprise,165136.33,26.8,1.2,6,175,9,1,2,1,2023
2023-02-03,Services,Québec,Revendeur,REP02,Grande entreprise,36563.73,32.0,2.6,11,298,2,0,2,1,2023
2023-02-04,Manufacturier,Maritimes,Direct,REP14,Grande entreprise,303609.81,18.4,21.4,4,187,10,0,2,1,2023
2023-02-04,Manufacturier,Québec,Direct,REP07,Startup,144208.72,20.6,12.2,11,362,6,0,2,1,2023
2023-02-04,Services,Ontario,En ligne,REP15,PME,4406.77,53.9,6.0,6,328,10,1,2,1,2023
2023-02-05,Services,Ontario,Revendeur,REP23,Grande entreprise,43655.69,29.0,23.3,2,91,10,0,2,1,2023
2023-02-05,Services,Ontario,En ligne,REP13,Startup,15144.71,20.5,18.7,11,67,1,0,2,1,2023
2023-02-07,Manufacturier,Ontario,Direct,REP25,Grande entreprise,276965.5,54.7,19.1,3,98,10,1,2,1,2023
2023-02-08,Services,Québec,Partenaire,REP09,PME,12152.03,31.4,13.0,8,84,5,0,2,1,2023
2023-02-08,Manufacturier,Maritimes,Revendeur,REP25,PME,187012.39,20.4,6.6,4,336,3,1,2,1,2023
2023-02-08,Services,Québec,Revendeur,REP12,Grande entreprise,40495.12,30.3,7.7,1,245,10,0,2,1,2023
2023-02-09,Services,Maritimes,Revendeur,REP06,PME,8427.45,53.0,9.6,10,241,5,0,2,1,2023
2023-02-09,Manufacturier,Colombie-Britannique,Revendeur,REP11,PME,92159.3,48.5,10.8,6,196,9,0,2,1,2023
2023-02-10,Manufacturier,Québec,Direct,REP11,Gouvernement,62038.13,17.4,23.0,5,12,1,0,2,1,2023
2023-02-11,Services,Ontario,Revendeur,REP22,Grande entreprise,78149.33,51.0,15.8,6,168,1,1,2,1,2023
2023-02-11,Manufacturier,Ontario,Direct,REP04,PME,253970.81,48.4,19.7,9,241,4,0,2,1,2023
2023-02-12,Services,Ontario,En ligne,REP09,Gouvernement,182470.97,34.2,16.7,8,360,1,0,2,1,2023
2023-02-12,Services,Ontario,Direct,REP01,PME,123707.43,19.7,5.8,11,193,1,1,2,1,2023
2023-02-13,Manufacturier,Ontario,Revendeur,REP03,PME,22989.07,44.7,4.1,5,352,2,0,2,1,2023
2023-02-13,Services,Québec,Direct,REP03,Startup,16142.89,23.3,20.8,1,100,8,0,2,1,2023
2023-02-14,Services,Maritimes,Revendeur,REP22,Grande entreprise,281643.31,51.6,4.3,7,294,6,0,2,1,2023
2023-02-14,Services,Québec,Direct,REP17,Startup,57785.01,39.9,12.0,1,152,9,0,2,1,2023
2023-02-16,Services,Ontario,Revendeur,REP02,PME,2682.16,51.3,17.7,2,34,7,0,2,1,2023
2023-02-16,Services,Ontario,Direct,REP24,Grande entreprise,171959.17,28.8,8.2,11,131,9,0,2,1,2023
2023-02-17,Services,Maritimes,Direct,REP09,PME,24240.44,18.2,23.4,2,346,5,0,2,1,2023
2023-02-18,Manufacturier,Alberta,En ligne,REP03,PME,61311.34,29.0,14.6,8,80,1,0,2,1,2023
2023-02-18,Manufacturier,Alberta,Partenaire,REP14,Startup,26297.92,46.7,7.6,11,25,9,0,2,1,2023
2023-02-20,Services,Ontario,Revendeur,REP10,PME,34572.6,45.7,20.4,9,275,1,1,2,1,2023
2023-02-20,Services,Alberta,En ligne,REP05,Grande entreprise,38313.4,16.6,21.4,8,78,4,1,2,1,2023
2023-02-20,Services,Québec,Partenaire,REP14,Startup,17125.27,32.4,5.2,7,231,7,0,2,1,2023
2023-02-21,Services,Alberta,Direct,REP13,PME,48101.77,20.5,17.8,2,231,6,0,2,1,2023
2023-02-21,Manufacturier,Alberta,Direct,REP18,PME,82475.93,22.7,18.4,8,149,9,1,2,1,2023
2023-02-22,Services,Alberta,Direct,REP03,PME,52182.43,46.2,1.2,5,269,2,1,2,1,2023
2023-02-22,Services,Ontario,Revendeur,REP04,PME,17572.41,46.9,0.5,3,224,1,1,2,1,2023
2023-02-22,Manufacturier,Alberta,Direct,REP22,PME,142188.71,35.8,23.4,5,339,5,0,2,1,2023
2023-02-23,Services,Québec,Direct,REP22,Grande entreprise,166868.6,36.3,13.5,11,44,2,1,2,1,2023
2023-02-23,Manufacturier,Québec,Revendeur,REP03,Startup,8764.68,21.8,2.9,4,258,2,0,2,1,2023
2023-02-23,Manufacturier,Maritimes,Partenaire,REP18,Grande entreprise,381085.05,16.1,2.4,1,279,10,1,2,1,2023
2023-02-23,Services,Ontario,Direct,REP19,PME,15989.35,36.0,15.2,5,60,3,0,2,1,2023
2023-02-24,Services,Québec,En ligne,REP05,PME,1596.17,22.0,20.2,3,210,9,0,2,1,2023
2023-02-24,Manufacturier,Québec,Partenaire,REP24,PME,103550.61,24.2,19.0,1,145,1,0,2,1,2023
2023-02-24,Services,Maritimes,En ligne,REP01,Gouvernement,164533.73,15.8,10.3,3,250,8,1,2,1,2023
2023-02-24,Services,Ontario,Revendeur,REP22,PME,29684.96,40.5,10.8,9,352,9,1,2,1,2023
2023-02-25,Manufacturier,Québec,Direct,REP19,Startup,114241.3,18.9,10.2,4,168,10,0,2,1,2023
2023-02-25,Services,Maritimes,Direct,REP18,PME,28179.07,30.8,13.0,6,248,4,0,2,1,2023
2023-02-25,Manufacturier,Québec,En ligne,REP16,Startup,85383.84,20.1,14.0,8,77,1,0,2,1,2023
2023-02-26,Services,Québec,En ligne,REP11,PME,24227.72,41.5,11.5,10,236,4,0,2,1,2023
2023-02-27,Services,Colombie-Britannique,Partenaire,REP25,Gouvernement,20540.65,45.6,0.8,8,241,1,0,2,1,2023
2023-02-28,Services,Québec,En ligne,REP14,PME,21538.27,27.8,4.2,10,349,9,0,2,1,2023
2023-02-28,Manufacturier,Québec,En ligne,REP20,Grande entreprise,2678404.31,29.7,5.0,8,168,9,0,2,1,2023
2023-03-01,Manufacturier,Ontario,Direct,REP22,PME,965001.12,30.2,16.2,2,118,5,0,3,1,2023
2023-03-01,Services,Colombie-Britannique,Revendeur,REP22,Startup,29560.04,19.7,19.5,3,213,4,0,3,1,2023
2023-03-01,Services,Colombie-Britannique,Partenaire,REP13,Grande entreprise,212934.06,32.6,14.5,4,276,9,0,3,1,2023
2023-03-01,Services,Ontario,En ligne,REP23,PME,21595.64,48.8,20.3,8,118,3,0,3,1,2023
2023-03-01,Manufacturier,Québec,Revendeur,REP11,Grande entreprise,159504.42,47.7,19.9,2,203,3,1,3,1,2023
2023-03-02,Manufacturier,Québec,En ligne,REP09,PME,30747.17,17.5,6.9,8,70,6,0,3,1,2023
2023-03-02,Manufacturier,Québec,Partenaire,REP10,PME,124155.73,29.9,7.7,7,36,4,0,3,1,2023
2023-03-03,Services,Ontario,En ligne,REP16,Gouvernement,35890.33,26.8,22.5,5,145,6,1,3,1,2023
2023-03-04,Manufacturier,Ontario,Partenaire,REP16,PME,86533.1,50.6,11.8,8,314,8,0,3,1,2023
2023-03-04,Services,Québec,En ligne,REP04,PME,8921.56,45.7,19.3,4,185,1,0,3,1,2023
2023-03-05,Manufacturier,Ontario,En ligne,REP14,PME,199772.71,43.2,2.1,2,216,1,1,3,1,2023
2023-03-05,Services,Québec,Partenaire,REP13,PME,3704.13,19.8,10.1,6,162,4,0,3,1,2023
2023-03-05,Manufacturier,Alberta,Direct,REP04,PME,328829.81,44.9,6.3,3,363,2,1,3,1,2023
2023-03-05,Services,Colombie-Britannique,Direct,REP03,Gouvernement,131632.78,51.0,4.5,8,332,5,1,3,1,2023
2023-03-05,Services,Québec,Direct,REP20,PME,62735.03,33.9,19.0,10,83,9,0,3,1,2023
2023-03-06,Manufacturier,Alberta,Direct,REP23,PME,40536.19,45.4,16.8,3,216,4,1,3,1,2023
2023-03-06,Services,Québec,Direct,REP17,PME,60615.91,41.6,23.0,8,78,6,0,3,1,2023
2023-03-06,Manufacturier,Québec,En ligne,REP20,Grande entreprise,95945.87,45.8,6.1,3,32,10,0,3,1,2023
2023-03-06,Services,Québec,Direct,REP11,PME,3778.42,27.3,10.0,5,29,3,1,3,1,2023
2023-03-07,Manufacturier,Québec,Direct,REP17,PME,31700.61,51.9,1.2,6,96,10,0,3,1,2023
2023-03-07,Manufacturier,Québec,Partenaire,REP17,PME,168509.2,54.3,17.5,5,349,7,0,3,1,2023
2023-03-07,Services,Québec,Direct,REP02,PME,18958.42,45.7,23.8,11,191,7,0,3,1,2023
2023-03-08,Manufacturier,Québec,Direct,REP10,Gouvernement,538903.09,52.2,7.7,7,202,3,1,3,1,2023
2023-03-08,Manufacturier,Québec,En ligne,REP05,PME,85691.61,49.3,24.6,8,68,4,0,3,1,2023
2023-03-08,Manufacturier,Québec,Direct,REP19,Startup,39992.22,50.7,22.8,7,257,3,0,3,1,2023
2023-03-08,Services,Ontario,Partenaire,REP18,Startup,12734.76,47.2,7.2,11,292,10,0,3,1,2023
2023-03-09,Services,Québec,En ligne,REP06,Gouvernement,142063.92,51.7,14.2,7,47,6,0,3,1,2023
2023-03-09,Manufacturier,Maritimes,En ligne,REP12,PME,137640.09,40.2,5.6,3,164,7,1,3,1,2023
2023-03-10,Services,Ontario,Revendeur,REP11,Startup,9467.57,32.3,6.3,5,204,4,1,3,1,2023
2023-03-10,Manufacturier,Québec,Direct,REP08,PME,48221.75,22.3,17.8,4,25,1,0,3,1,2023
2023-03-11,Services,Ontario,Partenaire,REP24,PME,68783.94,24.3,0.2,3,304,3,0,3,1,2023
2023-03-13,Services,Ontario,En ligne,REP16,PME,6832.48,39.9,1.6,6,89,8,0,3,1,2023
2023-03-14,Services,Colombie-Britannique,Direct,REP22,Gouvernement,178329.73,19.1,24.6,4,147,10,0,3,1,2023
2023-03-15,Manufacturier,Alberta,Revendeur,REP04,Grande entreprise,100255.65,45.3,4.3,3,43,6,0,3,1,2023
2023-03-15,Manufacturier,Québec,Revendeur,REP10,Gouvernement,386189.71,39.0,5.3,5,170,7,0,3,1,2023
2023-03-16,Services,Ontario,Direct,REP11,Grande entreprise,73854.25,16.2,5.6,4,342,8,0,3,1,2023
2023-03-16,Services,Colombie-Britannique,Revendeur,REP15,Gouvernement,113561.57,53.7,14.1,2,23,4,1,3,1,2023
2023-03-17,Services,Ontario,Revendeur,REP08,Gouvernement,29562.14,17.8,3.6,11,335,9,0,3,1,2023
2023-03-17,Services,Québec,Direct,REP24,Grande entreprise,123840.64,36.9,1.1,10,32,9,1,3,1,2023
2023-03-17,Services,Ontario,Direct,REP05,Startup,14445.23,52.2,15.9,4,210,5,0,3,1,2023
2023-03-17,Services,Québec,Partenaire,REP06,PME,16717.18,25.9,1.0,7,287,6,0,3,1,2023
2023-03-18,Manufacturier,Maritimes,Revendeur,REP20,Grande entreprise,529686.65,54.7,2.2,8,233,10,0,3,1,2023
2023-03-18,Manufacturier,Québec,Direct,REP10,Grande entreprise,1002924.47,16.8,14.1,6,144,2,1,3,1,2023
2023-03-18,Services,Ontario,Revendeur,REP23,PME,4551.97,52.4,1.6,2,203,9,1,3,1,2023
2023-03-19,Manufacturier,Colombie-Britannique,Direct,REP15,PME,55674.15,43.0,0.2,6,97,9,1,3,1,2023
2023-03-19,Services,Ontario,Direct,REP18,Grande entreprise,74550.14,24.5,13.3,4,208,8,0,3,1,2023
2023-03-20,Services,Ontario,Revendeur,REP15,PME,26886.28,27.1,20.0,8,355,6,0,3,1,2023
2023-03-20,Services,Alberta,Direct,REP10,PME,44919.26,24.4,0.9,1,15,4,1,3,1,2023
2023-03-21,Services,Québec,Direct,REP24,Grande entreprise,56961.66,24.6,2.4,3,360,6,1,3,1,2023
2023-03-21,Manufacturier,Québec,En ligne,REP20,PME,42152.42,51.1,15.8,7,87,3,1,3,1,2023
2023-03-22,Manufacturier,Ontario,Partenaire,REP04,Grande entreprise,91691.63,22.4,2.5,5,188,2,1,3,1,2023
2023-03-22,Services,Ontario,Direct,REP16,PME,15004.73,32.3,12.4,8,216,3,0,3,1,2023
2023-03-22,Manufacturier,Québec,En ligne,REP24,Startup,21241.38,48.3,6.0,5,250,10,1,3,1,2023
2023-03-23,Services,Québec,Revendeur,REP09,PME,10948.04,53.2,23.0,10,173,10,0,3,1,2023
2023-03-23,Services,Alberta,Direct,REP03,PME,45139.36,36.6,21.6,1,174,4,0,3,1,2023
2023-03-23,Manufacturier,Québec,Revendeur,REP05,PME,179429.28,45.5,14.7,10,341,10,0,3,1,2023
2023-03-23,Services,Colombie-Britannique,En ligne,REP08,PME,11236.63,52.4,16.8,6,218,5,0,3,1,2023
2023-03-24,Services,Colombie-Britannique,Direct,REP25,Grande entreprise,127902.42,26.9,23.3,3,301,2,0,3,1,2023
2023-03-24,Services,Québec,En ligne,REP13,Grande entreprise,27872.21,22.7,21.0,11,171,9,1,3,1,2023
2023-03-24,Manufacturier,Ontario,Partenaire,REP16,PME,8963.06,17.1,23.3,11,53,2,0,3,1,2023
2023-03-24,Manufacturier,Ontario,Revendeur,REP24,PME,337796.15,33.2,4.9,7,214,5,0,3,1,2023
2023-03-26,Manufacturier,Alberta,Revendeur,REP16,PME,18136.76,15.9,17.9,9,124,5,0,3,1,2023
2023-03-26,Services,Alberta,Direct,REP24,PME,8744.23,23.9,19.5,6,339,5,0,3,1,2023
2023-03-26,Manufacturier,Québec,Partenaire,REP06,Grande entreprise,897157.95,16.5,12.4,3,343,2,0,3,1,2023
2023-03-27,Services,Ontario,En ligne,REP07,Grande entreprise,27867.88,53.2,23.0,4,109,7,1,3,1,2023
2023-03-27,Manufacturier,Colombie-Britannique,Partenaire,REP24,PME,111620.26,44.9,5.1,5,103,10,0,3,1,2023
2023-03-27,Manufacturier,Québec,Partenaire,REP01,PME,14137.13,35.5,22.1,10,345,4,1,3,1,2023
2023-03-28,Services,Québec,Revendeur,REP09,Grande entreprise,72328.98,46.0,20.8,4,203,1,0,3,1,2023
2023-03-28,Manufacturier,Maritimes,Direct,REP05,Startup,14201.73,46.8,12.5,6,201,8,0,3,1,2023
2023-03-28,Services,Ontario,En ligne,REP17,PME,11912.24,37.9,21.7,8,275,3,0,3,1,2023
2023-03-29,Services,Québec,Direct,REP24,PME,31010.4,52.1,23.1,5,182,6,0,3,1,2023
2023-03-30,Services,Ontario,Revendeur,REP17,PME,9347.58,41.2,6.9,11,313,5,1,3,1,2023
2023-03-30,Services,Ontario,En ligne,REP19,PME,6610.21,24.8,17.0,5,228,5,1,3,1,2023
2023-03-31,Manufacturier,Québec,Direct,REP18,Gouvernement,111306.09,32.2,2.9,8,152,9,0,3,1,2023
2023-03-31,Services,Québec,Direct,REP02,Grande entreprise,153446.46,25.0,15.8,11,330,7,0,3,1,2023
2023-03-31,Services,Québec,Direct,REP11,PME,14772.18,19.1,21.6,10,327,3,0,3,1,2023
2023-03-31,Manufacturier,Québec,Direct,REP13,Grande entreprise,1085190.26,20.3,0.9,4,360,6,0,3,1,2023
2023-03-31,Services,Québec,Direct,REP18,PME,36007.05,39.9,9.0,3,184,2,1,3,1,2023
2023-04-01,Manufacturier,Québec,Direct,REP05,Grande entreprise,685780.43,42.2,23.1,4,74,4,0,4,2,2023
2023-04-01,Services,Québec,Revendeur,REP06,Startup,19725.96,41.6,9.1,10,345,9,0,4,2,2023
2023-04-01,Services,Ontario,En ligne,REP04,Startup,4144.21,36.8,7.7,2,52,4,0,4,2,2023
2023-04-01,Services,Québec,Direct,REP20,Gouvernement,79469.05,54.2,13.9,9,265,10,0,4,2,2023
2023-04-01,Services,Ontario,Partenaire,REP23,Startup,4152.17,53.5,6.3,8,204,6,1,4,2,2023
2023-04-01,Services,Alberta,Direct,REP02,Startup,46479.24,25.6,11.8,3,339,3,0,4,2,2023
2023-04-02,Manufacturier,Colombie-Britannique,Revendeur,REP04,Startup,10873.38,21.2,11.2,2,9,1,0,4,2,2023
2023-04-03,Manufacturier,Colombie-Britannique,Direct,REP08,Gouvernement,185527.45,27.2,16.1,10,148,3,0,4,2,2023
2023-04-03,Manufacturier,Québec,Direct,REP16,PME,33497.88,38.8,18.9,7,126,8,0,4,2,2023
2023-04-03,Services,Québec,Partenaire,REP08,Grande entreprise,24815.91,47.8,18.1,2,267,3,0,4,2,2023
2023-04-03,Manufacturier,Ontario,Direct,REP24,Grande entreprise,68417.39,50.4,11.9,3,364,1,0,4,2,2023
2023-04-04,Manufacturier,Québec,Partenaire,REP11,Gouvernement,1500326.22,44.5,20.8,10,99,6,0,4,2,2023
2023-04-04,Services,Ontario,Direct,REP21,PME,23552.83,37.4,21.8,9,310,6,1,4,2,2023
2023-04-04,Manufacturier,Alberta,En ligne,REP04,PME,307802.09,32.1,15.9,3,316,9,1,4,2,2023
2023-04-04,Services,Ontario,Direct,REP22,PME,34499.9,29.4,15.5,8,286,7,0,4,2,2023
2023-04-04,Services,Alberta,En ligne,REP16,Startup,14446.6,53.1,4.5,5,249,9,1,4,2,2023
2023-04-05,Services,Québec,En ligne,REP22,Startup,3450.61,33.0,18.9,9,149,4,0,4,2,2023
2023-04-05,Services,Québec,Direct,REP22,Gouvernement,37430.03,26.0,15.6,5,244,6,0,4,2,2023
2023-04-05,Manufacturier,Ontario,Direct,REP16,Grande entreprise,342540.35,16.8,5.5,1,330,3,0,4,2,2023
2023-04-05,Manufacturier,Ontario,Revendeur,REP07,PME,27029.79,27.5,5.5,6,353,9,0,4,2,2023
2023-04-05,Manufacturier,Québec,Revendeur,REP11,Gouvernement,80604.44,54.6,5.6,7,144,6,0,4,2,2023
2023-04-06,Services,Québec,Direct,REP07,PME,18312.95,41.3,11.1,7,311,8,1,4,2,2023
2023-04-07,Services,Maritimes,Direct,REP23,Grande entreprise,39586.97,28.4,24.7,5,130,10,1,4,2,2023
2023-04-07,Manufacturier,Ontario,Direct,REP25,PME,25320.03,25.1,13.7,7,222,4,1,4,2,2023
2023-04-08,Services,Colombie-Britannique,Direct,REP09,PME,9527.36,23.6,14.4,3,284,4,1,4,2,2023
2023-04-08,Services,Ontario,Revendeur,REP01,PME,51358.06,29.4,4.5,8,114,9,0,4,2,2023
2023-04-10,Services,Québec,Revendeur,REP24,PME,14659.83,44.2,22.2,5,137,4,0,4,2,2023
2023-04-10,Services,Québec,Direct,REP19,Startup,15284.19,46.9,20.1,4,191,2,0,4,2,2023
2023-04-10,Services,Québec,Revendeur,REP21,PME,17421.8,17.7,6.1,11,64,4,1,4,2,2023
2023-04-10,Services,Québec,Direct,REP24,PME,34257.66,52.2,7.2,2,152,3,1,4,2,2023
2023-04-11,Services,Ontario,Direct,REP03,PME,79246.57,51.1,2.8,4,185,8,0,4,2,2023
