client_id,anciennete_mois,plan,industrie,revenu_mensuel,connexions_30j,tickets_support_6m,adoption_fonctionnalites_pct,nps,retards_paiement,nb_utilisateurs,jours_sans_connexion,type_contrat,mention_concurrent,hausse_prix_annoncee,score_risque_churn,a_churne,raison_depart,cohorte_anciennete,statut_client,tier_risque,segment_engagement,mention_concurrent_txt,hausse_prix_txt
CLI00047,69,Premium,Finance,12473.44,6,10,75.3,3,2,166,174,Mensuel,0,0,0.369,0,(client actif),48+ mois,Actif,🟡 Moyen,Inactif,Non,Non
CLI00048,40,Entreprise,Finance,4173.9,29,12,62.4,6,2,31,35,Annuel,0,1,0.165,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00049,10,Premium,Services professionnels,9959.33,32,19,70.4,1,2,49,135,Annuel,0,0,0.244,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00050,31,Professionnel,Services professionnels,969.29,47,14,44.2,7,0,180,50,Annuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00051,30,Premium,Commerce de détail,16280.4,38,9,68.6,5,2,113,117,Annuel,0,0,0.122,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00052,51,Entreprise,Services professionnels,2817.03,46,16,29.9,3,3,110,15,Annuel,0,0,0.045,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00053,36,Professionnel,Services professionnels,930.6,37,4,62.1,2,4,38,132,Annuel,0,0,0.215,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00054,61,Démarrage,Technologie,242.49,19,0,52.1,9,0,49,88,Annuel,1,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Oui,Non
CLI00055,27,Premium,Finance,11456.92,18,18,85.9,6,3,100,13,Annuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00056,35,Professionnel,Commerce de détail,980.9,8,11,65.6,8,1,155,29,Annuel,0,1,0.148,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00057,60,Démarrage,Manufacturier,158.71,21,6,58.7,10,1,23,50,Annuel,0,0,0.18,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00058,32,Professionnel,Santé,478.6,31,1,33.2,1,0,84,16,Mensuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00059,4,Démarrage,Technologie,277.93,29,14,82.7,7,4,27,1,Annuel,0,1,0.02,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00060,27,Professionnel,Services professionnels,794.16,5,19,9.9,1,2,81,34,Mensuel,0,1,0.293,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00061,47,Entreprise,Santé,2381.04,16,12,86.0,10,0,142,98,Annuel,0,0,0.092,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00062,6,Professionnel,Commerce de détail,461.26,36,6,63.8,5,2,131,104,Annuel,0,0,0.098,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00063,82,Entreprise,Finance,1711.15,14,13,22.1,7,2,104,33,Mensuel,0,0,0.032,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00064,26,Professionnel,Commerce de détail,518.45,59,19,86.3,0,1,27,143,Annuel,1,1,0.256,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Oui,Oui
CLI00065,24,Démarrage,Technologie,124.11,6,15,34.4,6,4,190,81,Mensuel,1,0,0.349,0,(client actif),13-24 mois,Actif,🟢 Faible,Inactif,Oui,Non
CLI00066,71,Démarrage,Technologie,128.07,13,8,20.1,8,2,14,35,Annuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00067,44,Entreprise,Manufacturier,4105.5,19,18,33.7,5,0,172,157,Annuel,0,0,0.197,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00068,14,Démarrage,Commerce de détail,111.75,59,4,91.5,5,1,25,120,Annuel,0,0,0.099,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00069,13,Entreprise,Technologie,2756.15,29,9,72.7,8,2,189,58,Annuel,0,0,0.02,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00070,26,Démarrage,Commerce de détail,180.0,17,7,87.5,1,1,52,77,Annuel,0,0,0.155,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00071,43,Entreprise,Manufacturier,4839.76,56,13,31.9,3,1,140,149,Pluriannuel,0,0,0.168,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00072,43,Entreprise,Manufacturier,2861.17,21,10,12.4,10,0,162,39,Mensuel,0,0,0.057,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00073,66,Démarrage,Commerce de détail,131.17,24,0,55.6,7,0,23,1,Annuel,0,1,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00074,28,Entreprise,Services professionnels,1352.62,23,9,48.5,4,3,147,49,Pluriannuel,0,0,0.026,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00075,1,Professionnel,Technologie,811.71,30,1,69.9,8,2,120,77,Annuel,1,1,0.15,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Oui,Oui
CLI00076,12,Entreprise,Finance,1589.95,48,6,53.8,2,1,1,43,Annuel,0,1,0.02,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00077,50,Entreprise,Services professionnels,4750.93,17,16,40.7,5,3,193,113,Annuel,1,1,0.421,0,(client actif),48+ mois,Actif,🟡 Moyen,Modéré,Oui,Oui
CLI00078,53,Démarrage,Finance,210.84,33,4,5.4,5,0,126,88,Mensuel,0,1,0.195,1,Prix trop élevé,48+ mois,Parti,🟢 Faible,Actif engagé,Non,Oui
CLI00079,60,Entreprise,Services professionnels,2605.79,17,9,47.1,2,4,133,88,Pluriannuel,0,0,0.04,1,Manque de fonctionnalités,48+ mois,Parti,🟢 Faible,Modéré,Non,Non
CLI00080,55,Démarrage,Manufacturier,235.87,13,4,15.9,5,1,185,77,Mensuel,0,0,0.093,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00081,35,Professionnel,Technologie,438.25,3,4,88.0,0,4,150,100,Mensuel,1,0,0.286,0,(client actif),25-48 mois,Actif,🟢 Faible,Très inactif,Oui,Non
CLI00082,61,Démarrage,Manufacturier,175.45,6,8,88.0,4,4,171,133,Mensuel,0,0,0.111,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00083,26,Professionnel,Manufacturier,322.39,6,10,77.3,1,1,2,78,Annuel,1,0,0.31,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Oui,Non
CLI00084,31,Démarrage,Manufacturier,274.54,0,14,19.2,7,3,135,70,Annuel,0,1,0.353,0,(client actif),25-48 mois,Actif,🟡 Moyen,Inactif,Non,Oui
CLI00085,57,Professionnel,Manufacturier,596.68,39,4,18.3,6,3,112,130,Annuel,1,1,0.164,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Oui,Oui
CLI00086,12,Professionnel,Commerce de détail,830.18,51,16,55.7,6,1,21,109,Pluriannuel,0,0,0.107,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00087,5,Entreprise,Commerce de détail,4666.42,23,18,70.5,9,2,71,68,Mensuel,0,1,0.182,0,(client actif),0-6 mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00088,7,Entreprise,Technologie,3610.17,31,13,86.4,3,4,59,63,Mensuel,0,1,0.241,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00089,16,Entreprise,Services professionnels,2501.99,9,1,85.5,1,3,9,80,Mensuel,0,0,0.257,0,(client actif),13-24 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00090,52,Démarrage,Technologie,222.91,8,13,19.0,2,1,120,100,Mensuel,1,1,0.267,1,Prix trop élevé,48+ mois,Parti,🟢 Faible,Inactif,Oui,Oui
CLI00091,81,Démarrage,Santé,171.07,38,19,94.6,9,0,168,85,Pluriannuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00092,21,Premium,Finance,13508.71,2,3,19.1,3,0,73,81,Mensuel,0,1,0.198,0,(client actif),13-24 mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00093,27,Professionnel,Commerce de détail,601.52,43,2,80.6,2,1,115,67,Annuel,1,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00094,79,Professionnel,Technologie,403.91,34,14,57.8,2,2,177,88,Annuel,0,1,0.041,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00095,23,Démarrage,Services professionnels,255.02,4,15,66.0,0,0,140,83,Mensuel,0,0,0.082,0,(client actif),13-24 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00096,72,Démarrage,Manufacturier,198.28,6,9,59.4,0,2,100,98,Pluriannuel,0,0,0.36,0,(client actif),48+ mois,Actif,🟡 Moyen,Inactif,Non,Non
CLI00097,25,Premium,Commerce de détail,7851.14,11,17,83.3,7,1,73,3,Annuel,0,0,0.02,0,(client actif),25-48 mois,Actif,🟢 Faible,Inactif,Non,Non
CLI00098,11,Entreprise,Finance,4566.32,22,18,62.3,7,1,138,167,Mensuel,0,0,0.372,0,(client actif),7-12 mois,Actif,🟡 Moyen,Modéré,Non,Non
CLI00099,63,Professionnel,Commerce de détail,896.25,24,1,81.4,0,4,113,11,Annuel,0,1,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00100,57,Premium,Services professionnels,13381.39,16,9,18.9,3,1,74,111,Mensuel,0,1,0.142,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00101,54,Professionnel,Finance,978.22,13,1,83.0,1,2,17,30,Annuel,0,1,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00102,10,Entreprise,Santé,4707.68,34,15,94.4,0,3,4,50,Annuel,0,0,0.109,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00103,50,Professionnel,Technologie,926.9,0,4,64.5,1,0,64,67,Pluriannuel,0,1,0.23,0,(client actif),48+ mois,Actif,🟢 Faible,Inactif,Non,Oui
CLI00104,73,Professionnel,Services professionnels,392.3,21,3,92.9,0,0,144,176,Annuel,0,0,0.387,0,(client actif),48+ mois,Actif,🟡 Moyen,Modéré,Non,Non
CLI00105,1,Démarrage,Finance,157.93,27,16,24.8,4,4,49,104,Pluriannuel,1,1,0.305,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Oui,Oui
CLI00106,70,Entreprise,Santé,2639.76,57,12,79.6,9,3,100,40,Pluriannuel,0,1,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00107,30,Démarrage,Services professionnels,265.38,22,11,20.2,5,2,155,16,Mensuel,0,1,0.056,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00108,55,Entreprise,Services professionnels,4483.94,17,16,51.4,7,2,6,160,Annuel,0,1,0.373,1,Prix trop élevé,48+ mois,Parti,🟡 Moyen,Modéré,Non,Oui
CLI00109,77,Démarrage,Commerce de détail,249.3,45,8,64.8,9,4,104,100,Mensuel,0,0,0.064,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00110,6,Démarrage,Technologie,193.48,56,19,64.4,7,1,9,102,Mensuel,0,0,0.03,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00111,24,Premium,Finance,7427.52,44,0,65.4,3,3,58,40,Mensuel,0,0,0.02,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00112,5,Professionnel,Services professionnels,323.64,43,0,33.9,2,0,32,66,Annuel,0,0,0.082,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00113,7,Démarrage,Services professionnels,238.86,36,1,92.6,4,3,166,104,Annuel,0,1,0.178,0,(client actif),7-12 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00114,3,Premium,Finance,19911.31,2,13,5.6,7,4,30,139,Mensuel,0,0,0.4,1,Prix trop élevé,0-6 mois,Parti,🟡 Moyen,Très inactif,Non,Non
CLI00115,13,Professionnel,Services professionnels,540.83,13,4,60.9,4,1,45,134,Annuel,0,1,0.382,1,Prix trop élevé,13-24 mois,Parti,🟡 Moyen,Modéré,Non,Oui
CLI00116,54,Démarrage,Technologie,212.75,38,0,82.9,9,3,114,137,Mensuel,1,0,0.035,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00117,63,Professionnel,Services professionnels,866.41,6,0,85.2,6,1,157,147,Annuel,0,1,0.252,1,Passage chez concurrent,48+ mois,Parti,🟢 Faible,Inactif,Non,Oui
CLI00118,76,Professionnel,Commerce de détail,429.54,16,14,69.8,3,3,150,153,Mensuel,0,0,0.279,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00119,6,Professionnel,Commerce de détail,879.69,5,0,56.7,1,0,31,133,Annuel,0,1,0.374,0,(client actif),0-6 mois,Actif,🟡 Moyen,Inactif,Non,Oui
CLI00120,79,Premium,Manufacturier,14379.15,46,15,46.2,8,2,128,5,Pluriannuel,0,0,0.02,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00121,47,Professionnel,Services professionnels,697.89,18,9,45.5,10,3,17,54,Annuel,0,0,0.111,0,(client actif),25-48 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00122,82,Démarrage,Commerce de détail,251.46,14,4,43.3,9,2,113,12,Annuel,0,1,0.03,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Oui
CLI00123,55,Démarrage,Technologie,147.19,38,1,68.0,1,2,125,134,Pluriannuel,0,1,0.149,1,Mauvais service support,48+ mois,Parti,🟢 Faible,Actif engagé,Non,Oui
CLI00124,49,Démarrage,Santé,221.96,4,13,70.8,1,2,54,91,Annuel,0,0,0.25,0,(client actif),48+ mois,Actif,🟢 Faible,Très inactif,Non,Non
CLI00125,57,Professionnel,Technologie,467.26,14,10,51.3,7,4,79,104,Annuel,0,0,0.188,1,Mauvais service support,48+ mois,Parti,🟢 Faible,Modéré,Non,Non
CLI00126,3,Premium,Finance,7692.03,51,18,71.7,9,0,47,87,Annuel,0,0,0.02,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00127,22,Professionnel,Services professionnels,735.35,44,18,52.6,5,2,160,113,Annuel,1,1,0.311,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Oui,Oui
CLI00128,35,Professionnel,Manufacturier,487.5,25,18,13.8,4,0,156,38,Annuel,0,1,0.1,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00129,28,Entreprise,Manufacturier,3856.52,38,2,81.6,2,3,139,158,Annuel,0,0,0.224,1,Changement de direction,25-48 mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00130,42,Professionnel,Santé,659.14,44,10,83.3,6,0,167,165,Annuel,1,0,0.165,1,Passage chez concurrent,25-48 mois,Parti,🟢 Faible,Actif engagé,Oui,Non
CLI00131,12,Professionnel,Services professionnels,785.47,12,19,29.0,7,1,145,153,Annuel,0,0,0.37,0,(client actif),7-12 mois,Actif,🟡 Moyen,Modéré,Non,Non
CLI00132,1,Démarrage,Finance,277.32,30,15,75.8,8,2,76,172,Annuel,0,1,0.338,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00133,23,Professionnel,Commerce de détail,395.77,12,16,51.0,10,3,115,60,Mensuel,0,0,0.079,0,(client actif),13-24 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00134,28,Démarrage,Commerce de détail,112.35,22,19,16.2,1,2,115,142,Annuel,0,1,0.422,0,(client actif),25-48 mois,Actif,🟡 Moyen,Modéré,Non,Oui
CLI00135,69,Démarrage,Commerce de détail,178.98,39,3,40.8,7,2,167,67,Pluriannuel,0,0,0.041,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00136,36,Professionnel,Technologie,800.7,31,14,11.9,4,3,153,116,Mensuel,0,0,0.222,0,(client actif),25-48 mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00137,54,Professionnel,Commerce de détail,919.31,36,10,75.8,0,3,26,68,Annuel,0,0,0.021,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00138,47,Démarrage,Finance,105.96,3,15,22.7,9,4,68,164,Annuel,0,0,0.374,0,(client actif),25-48 mois,Actif,🟡 Moyen,Très inactif,Non,Non
CLI00139,56,Professionnel,Manufacturier,854.07,16,19,19.8,6,4,190,25,Annuel,0,0,0.186,0,(client actif),48+ mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00140,10,Entreprise,Technologie,1300.67,19,3,23.8,6,4,147,8,Mensuel,0,0,0.02,0,(client actif),7-12 mois,Actif,🟢 Faible,Modéré,Non,Non
CLI00141,5,Entreprise,Commerce de détail,3321.3,45,4,25.4,9,0,13,25,Mensuel,1,0,0.02,0,(client actif),0-6 mois,Actif,🟢 Faible,Actif engagé,Oui,Non
CLI00142,14,Professionnel,Finance,539.87,10,18,65.7,2,1,29,164,Annuel,0,1,0.51,1,Mauvais service support,13-24 mois,Parti,🟡 Moyen,Inactif,Non,Oui
CLI00143,24,Professionnel,Santé,311.36,41,15,62.5,10,1,54,30,Mensuel,0,1,0.181,0,(client actif),13-24 mois,Actif,🟢 Faible,Actif engagé,Non,Oui
CLI00144,63,Entreprise,Finance,1387.37,32,18,16.6,2,0,73,115,Annuel,0,0,0.138,0,(client actif),48+ mois,Actif,🟢 Faible,Actif engagé,Non,Non
CLI00145,28,Professionnel,Manufacturier,546.61,38,15,70.2,3,4,170,79,Mensuel,0,0,0.1,1,Passage chez concurrent,25-48 mois,Parti,🟢 Faible,Actif engagé,Non,Non
CLI00146,21,Entreprise,Finance,4814.01,5,0,36.4,4,1,190,45,Pluriannuel,0,0,0.02,0,(client actif),13-24 mois,Actif,🟢 Faible,Inactif,Non,Non
