date,ligne_production,produit,quart,operateur,unites_produites,unites_defectueuses,taux_defaut_pct,temps_arret_minutes,heures_travaillees,cout_materiaux,cout_main_oeuvre,cout_energie,cout_rebuts,cout_total_production,cout_par_unite_bonne,maintenance_effectuee,age_machine_annees,energie_kwh
2024-02-09,Ligne C,Produit Y2,Nuit,OP013,1138,75,6.67,37.9,10.79,11438.82,479.87,100.98,452.33,12471.99,11.72,1,13.8,841.5
2024-02-09,Ligne C,Produit Y2,Nuit,OP013,348,16,4.8,129.8,3.57,7586.95,124.96,24.55,209.3,7945.76,23.86,0,14.3,204.6
2024-02-09,Ligne D,Produit Y1,Jour,OP012,387,8,2.2,7.1,2.97,8568.85,120.92,49.77,106.28,8845.82,23.28,0,10.1,414.8
2024-02-10,Ligne C,Produit Z1,Jour,OP016,436,22,5.1,31.8,3.95,7381.24,140.1,77.02,223.47,7821.83,18.85,1,13.9,641.8
2024-02-10,Ligne B,Produit X2,Soir,OP016,1275,30,2.35,10.8,8.82,10884.52,338.55,209.22,153.66,11585.96,9.3,0,5.1,1743.5
2024-02-10,Ligne D,Produit X2,Jour,OP010,1225,26,2.2,3.3,11.62,22420.16,383.96,199.79,285.51,23289.43,19.41,1,5.1,1664.9
2024-02-10,Ligne A,Produit Y1,Nuit,OP012,1381,31,2.26,21.3,16.52,27576.77,616.14,289.41,371.42,28853.74,21.36,0,13.3,2411.7
2024-02-10,Ligne B,Produit X1,Jour,OP010,1331,44,3.36,20.6,13.6,26962.54,453.3,153.27,534.79,28103.91,21.82,1,10.7,1277.2
2024-02-11,Ligne B,Produit X1,Jour,OP014,1099,14,1.28,66.8,8.31,13951.06,322.21,160.8,106.63,14540.71,13.39,1,11.8,1340.0
2024-02-11,Ligne B,Produit Y2,Jour,OP019,1275,39,3.09,59.1,15.74,16278.98,619.59,206.45,298.77,17403.79,14.07,0,7.9,1720.5
2024-02-12,Ligne A,Produit Z1,Jour,OP008,232,8,3.53,26.2,1.59,3366.8,55.6,23.05,69.66,3515.11,15.62,1,3.2,192.1
2024-02-12,Ligne D,Produit Z1,Soir,OP017,648,16,2.59,9.2,6.17,11936.96,275.97,90.67,176.84,12480.45,19.72,1,13.5,755.6
2024-02-12,Ligne C,Produit X2,Soir,OP012,1181,65,5.57,110.0,14.46,23651.71,547.44,178.26,781.05,25158.46,22.52,1,13.2,1485.5
2024-02-13,Ligne C,Produit X1,Soir,OP015,1481,22,1.49,158.9,14.02,30977.66,488.38,133.82,276.1,31875.95,21.83,0,13.9,1115.1
2024-02-14,Ligne B,Produit Z1,Jour,OP016,422,13,3.17,71.0,4.75,3506.6,160.94,81.22,64.81,3813.59,9.3,0,13.0,676.9
2024-02-14,Ligne C,Produit Z1,Jour,OP007,852,32,3.78,167.6,9.13,7204.87,371.1,90.35,162.36,7828.68,9.54,0,2.3,752.9
2024-02-14,Ligne C,Produit Y1,Soir,OP020,1208,97,8.06,122.4,10.83,19020.42,477.86,266.76,916.38,20681.42,18.6,0,9.8,2223.0
2024-02-14,Ligne B,Produit X1,Jour,OP002,867,25,2.96,109.3,8.17,7941.76,348.64,167.06,137.4,8594.85,10.2,0,2.1,1392.1
2024-02-15,Ligne D,Produit Z1,Nuit,OP016,1171,16,1.38,5.9,9.6,13239.24,357.12,169.37,108.54,13874.27,12.0,0,3.7,1411.4
2024-02-15,Ligne B,Produit Y2,Nuit,OP017,1139,38,3.39,3.0,12.58,13965.45,409.99,138.1,279.55,14793.1,13.42,0,12.1,1150.9
2024-02-16,Ligne C,Produit Z1,Jour,OP017,1338,65,4.87,34.7,9.41,27600.94,296.98,106.81,804.51,28809.23,22.61,0,9.9,890.0
2024-02-16,Ligne A,Produit Y2,Soir,OP012,467,14,3.1,18.9,3.97,8011.22,146.02,77.63,144.1,8378.97,18.46,1,9.1,646.9
2024-02-16,Ligne A,Produit Z1,Nuit,OP016,602,34,5.78,31.3,6.57,14776.55,284.09,117.48,500.73,15678.86,27.56,0,6.5,979.0
2024-02-16,Ligne A,Produit X1,Soir,OP010,1139,42,3.76,130.0,11.53,16747.69,473.62,209.27,370.54,17801.12,16.21,1,7.7,1743.9
2024-02-17,Ligne A,Produit X2,Nuit,OP007,1299,77,5.99,42.4,15.06,17468.5,623.21,151.48,621.28,18864.46,15.42,0,7.9,1262.3
2024-02-17,Ligne D,Produit X1,Nuit,OP020,666,22,3.38,28.0,8.01,11343.02,267.23,42.76,224.82,11877.82,18.42,0,6.1,356.3
2024-02-18,Ligne A,Produit X1,Nuit,OP002,760,27,3.56,121.6,8.39,7666.45,292.89,162.84,163.42,8285.58,11.29,0,1.2,1357.0
2024-02-20,Ligne A,Produit X1,Jour,OP007,1164,50,4.38,12.5,8.07,27796.89,310.96,106.31,716.41,28930.57,25.95,0,8.0,885.9
2024-02-20,Ligne C,Produit Y1,Jour,OP013,960,64,6.71,221.6,11.06,9306.46,400.21,98.1,372.26,10177.03,11.35,1,4.9,817.5
2024-02-21,Ligne D,Produit Z1,Jour,OP014,1138,13,1.17,13.1,10.91,18525.8,471.51,188.75,126.98,19313.03,17.15,0,9.9,1572.9
2024-02-21,Ligne B,Produit X1,Jour,OP020,1383,27,1.97,21.9,9.76,32361.89,301.87,207.36,379.08,33250.2,24.5,1,3.7,1728.0
2024-02-21,Ligne D,Produit X2,Jour,OP008,1193,28,2.38,28.1,9.5,12693.9,357.4,257.37,178.76,13487.43,11.57,0,4.0,2144.8
2024-02-21,Ligne A,Produit Y2,Nuit,OP004,833,33,4.02,44.7,7.47,17770.27,253.11,125.94,422.39,18571.7,23.19,0,2.6,1049.5
2024-02-21,Ligne D,Produit X1,Jour,OP006,441,5,1.26,1.2,4.39,9538.03,136.96,48.61,64.88,9788.48,22.4,0,4.1,405.1
2024-02-22,Ligne C,Produit Y1,Jour,OP015,228,12,5.29,3.0,1.89,2706.22,58.11,14.86,85.46,2864.65,13.2,1,14.4,123.8
2024-02-22,Ligne B,Produit Y2,Jour,OP017,750,11,1.6,0.2,5.1,8954.18,156.47,149.55,78.8,9339.0,12.62,0,1.0,1246.2
2024-02-22,Ligne D,Produit Z1,Nuit,OP012,440,15,3.63,12.3,4.59,9434.85,166.93,72.58,192.99,9867.34,23.16,0,2.0,604.8
2024-02-22,Ligne B,Produit X2,Jour,OP004,554,18,3.26,2.0,4.03,11833.29,166.86,47.66,230.69,12278.49,22.86,0,2.7,397.1
2024-02-23,Ligne B,Produit X2,Jour,OP001,322,4,1.47,36.8,2.26,3156.39,88.6,61.71,23.53,3330.23,10.44,0,9.4,514.3
2024-02-23,Ligne C,Produit Y2,Jour,OP002,838,67,8.09,157.3,9.66,18765.29,433.06,145.32,900.2,20243.87,26.22,1,5.1,1211.0
2024-02-23,Ligne A,Produit Z1,Nuit,OP017,1336,66,5.01,8.5,13.46,22604.79,451.91,145.96,670.02,23872.68,18.78,0,3.7,1216.4
2024-02-23,Ligne D,Produit Z1,Jour,OP001,1389,28,2.06,11.2,9.93,27083.59,382.22,165.54,327.58,27958.92,20.53,0,5.5,1379.5
2024-02-23,Ligne B,Produit Y2,Jour,OP003,806,20,2.58,12.1,8.94,13996.37,356.32,66.0,208.38,14627.07,18.59,0,9.2,550.0
2024-02-24,Ligne B,Produit Z1,Jour,OP017,916,26,2.91,1.8,11.43,10594.36,360.72,110.38,180.43,11245.89,12.62,0,2.7,919.8
2024-02-24,Ligne A,Produit Z1,Jour,OP008,1387,22,1.6,50.4,10.32,31899.03,405.54,250.45,303.58,32858.61,24.05,0,4.7,2087.1
2024-02-25,Ligne A,Produit Y1,Nuit,OP003,759,39,5.25,70.3,7.36,18800.64,296.0,107.09,579.62,19783.36,27.44,1,7.6,892.5
2024-02-25,Ligne D,Produit Y2,Soir,OP004,663,13,2.07,32.1,7.38,5666.5,330.66,53.96,66.66,6117.79,9.4,0,12.9,449.7
2024-02-25,Ligne A,Produit X2,Jour,OP001,834,24,2.92,77.0,7.75,19279.45,338.05,97.38,332.88,20047.76,24.72,1,9.9,811.5
2024-02-26,Ligne D,Produit Z1,Jour,OP007,727,16,2.28,2.9,8.13,8161.48,354.89,144.32,107.77,8768.46,12.32,1,1.1,1202.7
2024-02-27,Ligne C,Produit X2,Nuit,OP015,382,28,7.46,5.5,2.86,8669.5,118.35,37.99,381.28,9207.12,25.94,0,11.4,316.6
2024-02-27,Ligne B,Produit Y2,Soir,OP003,1092,43,4.02,17.9,11.54,17373.43,357.24,243.55,410.47,18384.7,17.51,0,12.9,2029.6
2024-02-27,Ligne B,Produit Z1,Jour,OP011,986,26,2.66,0.1,6.89,22213.41,205.16,114.21,351.45,22884.22,23.81,0,13.5,951.7
2024-02-28,Ligne A,Produit X1,Soir,OP016,1257,52,4.14,59.0,9.72,26623.34,340.72,252.32,660.82,27877.2,23.12,0,14.6,2102.7
2024-02-28,Ligne A,Produit Z1,Jour,OP016,544,18,3.32,1.5,4.18,12643.58,156.83,125.66,251.01,13177.09,25.0,1,4.8,1047.2
2024-02-28,Ligne D,Produit Y2,Jour,OP002,222,3,1.52,51.4,2.34,3231.33,82.24,33.23,26.2,3373.0,15.33,0,5.3,276.9
2024-02-29,Ligne C,Produit Y1,Soir,OP010,1044,72,6.94,102.7,7.46,16020.62,312.51,121.95,662.92,17118.0,17.59,0,3.5,1016.3
2024-02-29,Ligne C,Produit Z1,Soir,OP004,889,30,3.46,88.0,7.07,8467.76,303.26,171.14,171.45,9113.61,10.6,0,3.5,1426.2
2024-03-01,Ligne D,Produit Y2,Soir,OP006,864,22,2.63,37.9,7.18,12406.5,304.01,129.62,189.54,13029.68,15.46,0,2.8,1080.2
2024-03-01,Ligne D,Produit X1,Jour,OP006,1309,23,1.76,11.9,12.94,18690.5,393.83,196.83,197.04,19478.2,15.13,0,14.3,1640.3
2024-03-02,Ligne B,Produit Z1,Soir,OP017,691,32,4.69,3.5,5.85,5858.11,170.4,140.68,162.77,6331.96,9.59,0,6.7,1172.3
2024-03-02,Ligne C,Produit Y2,Nuit,OP005,1282,119,9.33,2.0,10.97,30696.83,473.77,259.94,1709.64,33140.18,28.47,1,1.8,2166.2
2024-03-02,Ligne D,Produit X1,Soir,OP018,509,18,3.57,1.3,4.53,10299.18,183.89,69.16,218.53,10770.75,21.89,1,8.9,576.3
2024-03-03,Ligne C,Produit Y1,Nuit,OP019,1368,110,8.06,39.2,12.93,20598.6,435.9,149.03,993.79,22177.32,17.62,0,12.5,1241.9
2024-03-03,Ligne B,Produit X2,Nuit,OP004,1311,61,4.66,16.4,12.61,27369.87,554.39,171.3,764.1,28859.67,23.07,1,10.3,1427.5
2024-03-03,Ligne C,Produit Y1,Soir,OP010,772,72,9.39,175.3,6.49,9630.14,220.09,164.48,538.89,10553.59,15.06,0,8.8,1370.7
2024-03-03,Ligne B,Produit Y1,Jour,OP002,360,10,2.9,12.2,3.37,4564.07,106.63,27.41,76.07,4774.17,13.6,0,10.6,228.4
2024-03-04,Ligne B,Produit X2,Soir,OP011,391,7,2.02,138.0,2.65,4386.16,93.16,34.75,47.11,4561.18,11.85,0,5.7,289.5
2024-03-04,Ligne A,Produit Y2,Soir,OP009,1240,38,3.13,30.1,9.27,12221.7,371.37,139.06,224.72,12956.86,10.77,0,7.0,1158.9
2024-03-05,Ligne B,Produit Y2,Soir,OP018,1187,64,5.42,6.4,13.94,24092.65,620.35,79.72,779.41,25572.13,22.75,0,12.1,664.3
2024-03-06,Ligne B,Produit Y2,Jour,OP020,1316,39,3.01,27.6,11.5,21978.13,468.75,308.18,390.8,23145.86,18.11,1,2.7,2568.2
2024-03-06,Ligne C,Produit X1,Soir,OP018,1111,76,6.89,34.9,10.48,10330.82,410.2,128.86,424.02,11293.89,10.9,1,9.0,1073.8
2024-03-06,Ligne A,Produit Z1,Nuit,OP005,947,39,4.2,10.4,7.09,19086.82,298.35,85.93,471.63,19942.73,21.94,0,5.0,716.1
2024-03-06,Ligne A,Produit Y2,Jour,OP005,983,34,3.54,17.6,8.85,21183.95,391.21,139.73,439.63,22154.52,23.32,1,5.4,1164.4
2024-03-07,Ligne A,Produit Z1,Soir,OP019,1080,50,4.65,125.5,9.69,25243.95,361.2,171.89,701.22,26478.25,25.68,1,3.7,1432.4
2024-03-08,Ligne B,Produit Z1,Nuit,OP020,1350,24,1.81,23.1,15.11,16761.28,476.23,241.15,178.79,17657.45,13.31,0,14.4,2009.6
2024-03-08,Ligne B,Produit Z1,Jour,OP009,459,11,2.59,41.9,4.35,4229.31,190.67,32.68,60.81,4513.48,10.05,0,13.8,272.4
2024-03-08,Ligne A,Produit Y1,Soir,OP008,818,52,6.42,13.4,8.56,17065.34,276.9,115.37,650.9,18108.5,23.61,0,11.3,961.4
2024-03-09,Ligne D,Produit X1,Nuit,OP006,785,27,3.51,41.7,5.95,17180.46,253.69,167.8,354.55,17956.5,23.66,1,5.4,1398.3
2024-03-10,Ligne B,Produit X2,Soir,OP001,284,7,2.58,41.4,2.51,3705.89,73.08,42.02,54.81,3875.79,13.94,0,3.7,350.1
2024-03-10,Ligne D,Produit X1,Soir,OP003,705,15,2.26,2.6,4.9,13788.33,220.3,124.97,176.02,14309.63,20.71,0,7.0,1041.5
2024-03-10,Ligne B,Produit X1,Soir,OP018,1336,48,3.62,76.4,11.85,14644.03,333.46,260.46,315.68,15553.63,12.07,0,8.8,2170.5
2024-03-11,Ligne D,Produit Z1,Nuit,OP007,846,29,3.47,0.5,9.48,9202.47,352.13,182.34,189.27,9926.2,12.13,0,1.1,1519.5
2024-03-11,Ligne C,Produit Z1,Soir,OP018,221,9,4.4,84.2,2.05,2565.09,80.61,50.24,62.68,2758.62,12.95,1,4.1,418.7
2024-03-11,Ligne D,Produit Y1,Jour,OP007,1218,18,1.55,7.3,10.78,25839.47,407.93,201.84,229.12,26678.35,22.21,0,2.2,1682.0
2024-03-11,Ligne A,Produit X2,Nuit,OP007,549,23,4.27,15.4,5.61,9120.92,192.05,97.97,229.27,9640.21,18.29,1,1.2,816.4
